Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mario-mushroom-keychain,Mario Mushroom Keychain,"<p>🍄 <strong>Super Mushroom Power!</strong></p><p>Handmade pixel art keychain featuring the iconic Mario mushroom. Each piece is crafted with 1000+ premium beads by skilled pixel artists.</p><p><strong>Features:</strong></p><ul><li>Classic 8-bit pixel style</li><li>High-visibility red cap design</li><li>Nostalgic gaming vibes</li><li>Limited handmade production</li></ul><p><strong>Size:</strong> 5cm × 5cm<br><strong>Weight:</strong> 30g</p>",Holy Moly Beads,Keychain,"mario, nintendo, retro, gaming, hot",TRUE,Color,Red,,,,,MMK-RED-001,30,shopify,23,deny,manual,18,22.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/mario-mushroom.jpg,1,Mario Mushroom Pixel Keychain,FALSE,Mario Mushroom Keychain | Holy Moly Beads,Handmade pixel art Mario mushroom keychain. 1000+ beads. Perfect gift for gamers!,,,,,,,,,,,,,,,kg,,,active
mario-mushroom-keychain,,,,,,,,Color,Green,,,,,MMK-GRN-001,30,shopify,15,deny,manual,18,22.99,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,kg,,,
pikachu-sprite-keychain,Pikachu Sprite Keychain,"<p>⚡ <strong>Pika Pika!</strong></p><p>Super cute Pikachu pixel art keychain that brings electric energy to your day. A must-have for Pokemon fans!</p><p><strong>Features:</strong></p><ul><li>Adorable Pikachu design</li><li>Classic yellow color scheme</li><li>Anime collector's item</li><li>Limited handmade production</li></ul><p><strong>Size:</strong> 5cm × 5cm<br><strong>Weight:</strong> 28g</p>",Holy Moly Beads,Keychain,"pokemon, pikachu, anime, gaming, new",TRUE,Color,Yellow,,,,,PPK-YLW-001,28,shopify,31,deny,manual,22,22.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/pikachu-sprite.jpg,1,Pikachu Sprite Pixel Keychain,FALSE,Pikachu Sprite Keychain | Holy Moly Beads,Handmade pixel art Pikachu keychain. 1000+ beads. Pokemon fans must-have!,,,,,,,,,,,,,,,kg,,,active
retro-controller-magnet,Retro Controller Magnet,"<p>🎮 <strong>Level Up Your Fridge!</strong></p><p>Retro gaming controller magnet set that brings back the golden age of gaming. Perfect for your fridge or magnetic board.</p><p><strong>Features:</strong></p><ul><li>Classic controller design</li><li>Strong magnetic backing</li><li>Perfect for gaming setups</li><li>Collector's edition</li></ul><p><strong>Size:</strong> 6cm × 4cm<br><strong>Weight:</strong> 45g</p>",Holy Moly Beads,Magnet,"controller, retro, gaming, magnet",TRUE,,,,,,,RCM-001,45,shopify,18,deny,manual,28,35,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/retro-controller.jpg,1,Retro Controller Pixel Magnet,FALSE,Retro Controller Magnet | Holy Moly Beads,Handmade pixel art retro controller magnet. Perfect for gaming room decor!,,,,,,,,,,,,,,,kg,,,active
star-power-keychain,Star Power Keychain,"<p>⭐ <strong>Invincible Style!</strong></p><p>Shine like a star with this pixel art keychain. The perfect accessory to brighten your day and your keys!</p><p><strong>Features:</strong></p><ul><li>Shining star design</li><li>Gradient color effect</li><li>Instagram-worthy</li><li>Photo shoot essential</li></ul><p><strong>Size:</strong> 4.5cm × 4.5cm<br><strong>Weight:</strong> 25g</p>",Holy Moly Beads,Keychain,"star, y2k, shiny, cute",TRUE,Color,Gold,,,,,SPK-GLD-001,25,shopify,38,deny,manual,15,18.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/star-power.jpg,1,Star Power Pixel Keychain,FALSE,Star Power Keychain | Holy Moly Beads,Shining pixel star keychain. Y2K aesthetic. Handmade with love!,,,,,,,,,,,,,,,kg,,,active
pixel-art-diy-kit,Pixel Art DIY Kit,"<p>🎨 <strong>Create Your Own Masterpiece!</strong></p><p>Everything you need to start your pixel art journey. Perfect for beginners and experienced crafters alike.</p><p><strong>Kit Includes:</strong></p><ul><li>2000+ beads in 20 colors</li><li>3 pegboards (small, medium, large)</li><li>Ironing paper</li><li>Tweezers and sorting tray</li><li>Design templates</li><li>Instruction manual</li></ul><p><strong>Box Size:</strong> 25cm × 20cm × 5cm<br><strong>Weight:</strong> 350g</p>",Holy Moly Beads,DIY Kit,"diy, kit, starter, craft, new",TRUE,,,,,,,PDK-001,350,shopify,12,deny,manual,45,55,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/diy-kit.jpg,1,Pixel Art DIY Starter Kit,FALSE,Pixel Art DIY Kit | Holy Moly Beads,Complete pixel art DIY kit with 2000+ beads. Perfect gift for creative minds!,,,,,,,,,,,,,,,kg,,,active
link-sword-keychain,Link Sword Keychain,"<p>⚔️ <strong>Hero's Weapon!</strong></p><p>Channel your inner hero with this legendary sword keychain. A tribute to classic adventure games.</p><p><strong>Features:</strong></p><ul><li>Legendary sword design</li><li>Adventure game tribute</li><li>Detailed pixel crafting</li><li>Limited edition</li></ul><p><strong>Size:</strong> 6cm × 2cm<br><strong>Weight:</strong> 28g</p>",Holy Moly Beads,Keychain,"zelda, link, sword, gaming",TRUE,,,,,,,LSK-001,28,shopify,0,deny,manual,20,25,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/link-sword.jpg,1,Link Sword Pixel Keychain,FALSE,Link Sword Keychain | Holy Moly Beads,Legendary sword pixel keychain. Adventure awaits! Currently sold out.,,,,,,,,,,,,,,,kg,,,active
pacman-ghost-magnet,Pacman Ghost Magnet Set,"<p>👻 <strong>Retro Arcade Vibes!</strong></p><p>Set of 4 Pacman ghost magnets in different colors. Bring the arcade to your fridge!</p><p><strong>Features:</strong></p><ul><li>Set of 4 magnets</li><li>Red, Pink, Blue, Orange ghosts</li><li>Strong magnetic backing</li><li>Classic arcade nostalgia</li></ul><p><strong>Size:</strong> 4cm × 4cm each<br><strong>Weight:</strong> 80g total</p>",Holy Moly Beads,Magnet,"pacman, ghost, arcade, retro, magnet",TRUE,,,,,,,PGM-SET-001,80,shopify,25,deny,manual,25,32,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/pacman-ghosts.jpg,1,Pacman Ghost Magnet Set,FALSE,Pacman Ghost Magnet Set | Holy Moly Beads,Set of 4 pixel Pacman ghost magnets. Retro arcade fun!,,,,,,,,,,,,,,,kg,,,active
pokeball-keychain,Pokeball Keychain,"<p>🔴 <strong>Gotta Catch 'Em All!</strong></p><p>Classic Pokeball design for every Pokemon trainer. The perfect companion for your keys!</p><p><strong>Features:</strong></p><ul><li>Iconic Pokeball design</li><li>Red and white classic colors</li><li>Trainer essential</li><li>Limited edition</li></ul><p><strong>Size:</strong> 5cm × 5cm<br><strong>Weight:</strong> 30g</p>",Holy Moly Beads,Keychain,"pokemon, pokeball, gaming",TRUE,,,,,,,PBK-001,30,shopify,42,deny,manual,19,24,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/pokeball.jpg,1,Pokeball Pixel Keychain,FALSE,Pokeball Keychain | Holy Moly Beads,Classic Pokeball pixel keychain. Every trainer needs one!,,,,,,,,,,,,,,,kg,,,active
space-invaders-kit,Space Invaders Bead Kit,"<p>👾 <strong>Alien Invasion!</strong></p><p>Create your own Space Invaders pixel art with this complete bead kit. Defend Earth in style!</p><p><strong>Kit Includes:</strong></p><ul><li>1500+ beads</li><li>Space Invader templates</li><li>Pegboard and tools</li><li>Display stand</li></ul><p><strong>Box Size:</strong> 20cm × 15cm × 4cm</p>",Holy Moly Beads,DIY Kit,"space-invaders, retro, diy",TRUE,,,,,,,SIK-001,280,shopify,15,deny,manual,38,45,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/space-invaders-kit.jpg,1,Space Invaders DIY Kit,FALSE,Space Invaders Bead Kit | Holy Moly Beads,Create your own Space Invaders pixel art. Alien invasion awaits!,,,,,,,,,,,,,,,kg,,,active
tetris-magnets,Tetris Block Magnets,"<p>🧱 <strong>Stack 'Em Up!</strong></p><p>Set of 7 classic Tetris block magnets. Arrange them on your fridge just like the game!</p><p><strong>Features:</strong></p><ul><li>All 7 Tetris pieces</li><li>Authentic game colors</li><li>Strong magnets</li><li>Fun and functional</li></ul><p><strong>Size:</strong> Various<br><strong>Weight:</strong> 120g total</p>",Holy Moly Beads,Magnet,"tetris, blocks, puzzle, magnet",TRUE,,,,,,,TBM-SET-001,120,shopify,20,deny,manual,32,38,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/tetris-magnets.jpg,1,Tetris Block Magnets Set,FALSE,Tetris Block Magnets | Holy Moly Beads,Complete set of 7 Tetris piece magnets. Stack them up!,,,,,,,,,,,,,,,kg,,,active
sonic-ring-keychain,Sonic Ring Keychain,"<p>💍 <strong>Gotta Go Fast!</strong></p><p>Golden ring keychain inspired by the fastest hedgehog. Collect your own rings!</p><p><strong>Features:</strong></p><ul><li>Shiny gold ring design</li><li>Sonic-inspired</li><li>Catch the shine</li><li>New release</li></ul><p><strong>Size:</strong> 4.5cm diameter<br><strong>Weight:</strong> 26g</p>",Holy Moly Beads,Keychain,"sonic, ring, sega, gaming, new",TRUE,,,,,,,SRK-001,26,shopify,30,deny,manual,24,28,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/sonic-ring.jpg,1,Sonic Ring Pixel Keychain,FALSE,Sonic Ring Keychain | Holy Moly Beads,Golden ring pixel keychain. Gotta catch 'em all!,,,,,,,,,,,,,,,kg,,,active
heart-container-keychain,Heart Container Keychain,"<p>❤️ <strong>Full Health!</strong></p><p>Restore your health with this heart container keychain. Every adventurer needs extra hearts!</p>",Holy Moly Beads,Keychain,"zelda, heart, gaming",TRUE,,,,,,,HCK-001,26,shopify,35,deny,manual,16,20,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/xxxx/heart-container.jpg,1,Heart Container Keychain,FALSE,Heart Container Keychain | Holy Moly Beads,Pixel heart container keychain. Full health restored!,,,,,,,,,,,,,,,kg,,,active